Society_name_EA,Family,latitude,longitude,Moralizing.bin,AnimHusbandry,Agriculture,JurLevelGlobal,Stability,Abundance
Aranda,Pama-Nyungan,-24,134,0,0,0,0,-0.39597686,-1.554806636
Dieri,Pama-Nyungan,-28,138,0,0,0,1,0.011162682,-2.035716305
Murngin,Pama-Nyungan,-12,136,0,0,0,0,0.691450812,-0.414665333
Walbiri,Pama-Nyungan,-22,132,0,0,0,0,-0.130503169,-1.523892809
Yir Yoront,Pama-Nyungan,-15,142,0,0,0,0,0.126444055,-0.167398502
Marindamin,Trans-New_Guinea,-8,139,0,1,1,0,0.812234664,0.024704272
Gheg,Indo-European,42,20,1,1,1,2,-1.619837997,0.179945879
Lithuanians,Indo-European,55,24,1,1,1,3,-1.158434474,-0.537257058
Irish,Indo-European,53,-9,1,1,1,2,-0.88412597,-0.779371652
Dutch,Indo-European,53,7,1,1,1,3,-1.166419922,-0.495801258
New England,Indo-European,42,-73,1,1,1,3,-1.576776114,0.101232766
Greeks,Indo-European,39,23,1,1,1,3,-1.605365314,-0.063121874
Bengali,Indo-European,23,88,0,1,1,4,-0.003623706,0.065131066
Bhil,Indo-European,22,74,0,1,1,1,0.45253169,-0.574198262
Dard,Indo-European,35,73,0,1,1,2,-1.313890944,-0.373513688
Gujarati,Indo-European,20,77,0,1,1,3,-0.021123447,-0.40853264
Kashmir,Indo-European,34,75,1,1,1,3,-1.289176411,-0.397571977
Kohistani,Indo-European,35,73,1,1,0,1,-1.313890944,-0.373513688
Pahari,Indo-European,30,78,0,1,1,4,-0.945961652,0.227690068
Punjabi,Indo-European,32,73,1,1,1,4,-0.379896599,-0.927158415
Sindhi,Indo-European,25,68,1,1,1,3,1.152218427,-1.962879024
Vedda,Indo-European,8,81,0,0,0,0,-0.489590256,0.84855455
Armenians,Indo-European,40,45,1,1,1,3,-1.242884077,-0.581525875
Afghans,Indo-European,33,68,1,1,1,3,-0.438354728,-1.528131085
Bakhtiari,Indo-European,33,48,1,1,0,2,0.146437655,-1.604613188
Basseri,Indo-European,30,34,1,1,0,1,0.309803567,-2.529540647
Iranians,Indo-European,36,52,1,1,1,4,-0.626592319,-1.317827538
Marri,Indo-European,30,69,1,1,0,2,0.214824082,-1.907370551
